Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
IqFphw9	JqFphw9	152	217	2
IqFphw9	IqFphw9x	152	224	4
IqFphwy	JqFphwy	216	25	3
IqFphwy	IqFphwyx	216	160	4
IqFphvy	JqFphvy	185	250	3
IqFphvy	IqFphvyx	185	223	4
IqFphvi	JqFphvi	169	234	3
IqFphvi	IqFphvix	169	239	3
IqFthvi	JqFthvi	37	102	3
IqFthvi	IqFthvix	37	243	5
IqFthvh	JqFthvh	36	101	2
IqFthvh	IqFthvhx	36	212	4
IqFvhvh	JqFvhvh	226	35	3
IqFvhvh	IqFvhvhx	226	214	3
IqFvhth	JqFvhth	164	229	2
IqFvhth	IqFvhthx	164	84	4
HqFvhth	IqFvhth	99	164	5
HqFvhth	HqFvhthx	99	117	3
HqFvh4h	IqFvh4h	163	228	4
HqFvh4h	HqFvh4hx	163	53	4
hqFvh4h	iqFvh4h	195	4	5
hqFvh4h	hqFvh4hx	195	21	5
jqFvh4h	kqFvh4h	69	134	4
jqFvh4h	jqFvh4hx	69	211	4
jqFvh5h	kqFvh5h	100	165	3
jqFvh5h	jqFvh5hx	100	148	4
jqF6h5h	kqF6h5h	164	229	2
jqF6h5h	jqF6h5hx	164	84	4
jqF6i5h	kqF6i5h	101	166	4
jqF6i5h	jqF6i5hx	101	179	5
jqF6i5i	kqF6i5i	102	167	3
jqF6i5i	jqF6i5ix	102	210	4
jqF6a5i	kqF6a5i	94	159	3
jqF6a5i	jqF6a5ix	94	218	2
jqD6a5i	kqD6a5i	92	157	3
jqD6a5i	jqD6a5ix	92	156	2
jsD6a5i	ksD6a5i	154	219	2
jsD6a5i	jsD6a5ix	154	30	2
jsD4a5i	ksD4a5i	220	29	3
jsD4a5i	jsD4a5ix	220	28	2
jsF4a5i	ksF4a5i	222	31	3
jsF4a5i	jsF4a5ix	222	90	2
jsF4a1i	ksF4a1i	98	163	3
jsF4a1i	jsF4a1ix	98	86	3
jsF6a1i	ksF6a1i	32	97	2
jsF6a1i	jsF6a1ix	32	88	4
jcF6a1i	kcF6a1i	48	113	2
jcF6a1i	jcF6a1ix	48	72	4
jcF6a1h	kcF6a1h	47	112	6
jcF6a1h	jcF6a1hx	47	41	2
jcF6a3h	kcF6a3h	109	174	4
jcF6a3h	jcF6a3hx	109	171	4
jsF6a3h	ksF6a3h	93	158	4
jsF6a3h	jsF6a3hx	93	187	5
jsF6A3h	ksF6A3h	61	126	3
jsF6A3h	jsF6A3hx	61	219	5
jsB6A3h	ksB6A3h	57	122	3
jsB6A3h	jsB6A3hx	57	95	4
ksB6A3h	lsB6A3h	122	187	3
ksB6A3h	ksB6A3hx	122	62	2
jsB6A3h	ksB6A3h	57	122	3
jsB6A3h	jsB6A3hx	57	95	4
jsB2A3h	ksB2A3h	189	254	3
jsB2A3h	jsB2A3hx	189	91	5
jsB2A3H	ksB2A3H	157	222	3
jsB2A3H	jsB2A3Hx	157	123	5
jsR2A3H	ksR2A3H	173	238	3
jsR2A3H	jsR2A3Hx	173	107	4
jsR0A3H	ksR0A3H	239	48	7
jsR0A3H	jsR0A3Hx	239	105	3
ksR0A3H	lsR0A3H	48	113	2
ksR0A3H	ksR0A3Hx	48	72	4
osR0A3H	psR0A3H	52	117	2
osR0A3H	osR0A3Hx	52	196	4
osR8A3H	psR8A3H	44	109	2
osR8A3H	osR8A3Hx	44	204	3
osR8E3H	psR8E3H	48	113	2
osR8E3H	osR8E3Hx	48	72	4
osR9E3H	psR9E3H	143	208	6
osR9E3H	osR9E3Hx	143	201	3
osR9E3X	psR9E3X	159	224	7
osR9E3X	osR9E3Xx	159	185	3
nsR9E3X	osR9E3X	94	159	3
nsR9E3X	nsR9E3Xx	94	218	2
nsV9E3X	osV9E3X	98	163	3
nsV9E3X	nsV9E3Xx	98	86	3
nsV9M3X	osV9M3X	106	171	3
nsV9M3X	nsV9M3Xx	106	78	2
nsV9M3H	osV9M3H	90	155	3
nsV9M3H	nsV9M3Hx	90	94	1
nsV9M2H	osV9M2H	59	124	4
nsV9M2H	nsV9M2Hx	59	157	4
nsV9M6H	osV9M6H	183	248	5
nsV9M6H	nsV9M6Hx	183	161	3
osV9M6H	psV9M6H	248	57	3
osV9M6H	osV9M6Hx	248	128	4
o3V9M6H	p3V9M6H	56	121	2
o3V9M6H	o3V9M6Hx	56	64	4
o2V9M6H	p2V9M6H	153	218	3
o2V9M6H	o2V9M6Hx	153	255	4
g2V9M6H	h2V9M6H	145	210	3
g2V9M6H	g2V9M6Hx	145	7	4
g0V9M6H	h0V9M6H	83	148	5
g0V9M6H	g0V9M6Hx	83	133	5
g0V9M4H	h0V9M4H	21	86	3
g0V9M4H	g0V9M4Hx	21	3	3
g0V8M4H	h0V8M4H	182	247	2
g0V8M4H	g0V8M4Hx	182	130	3
g2V8M4H	h2V8M4H	244	53	3
g2V8M4H	g2V8M4Hx	244	4	4
g2W8M4H	h2W8M4H	117	182	4
g2W8M4H	g2W8M4Hx	117	163	5
g2WxM4H	h2WxM4H	53	118	3
g2WxM4H	g2WxM4Hx	53	227	5
g2WyM4H	h2WyM4H	148	213	2
g2WyM4H	g2WyM4Hx	148	100	4
