Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
gts0XlF	gts0XlFx	168	208	4
gtspXlF	htspXlF	104	169	3
gtspXlF	gtspXlFx	104	16	4
otspXlF	ptspXlF	112	177	3
otspXlF	otspXlFx	112	8	4
otspXlG	ptspXlG	113	178	4
otspXlG	otspXlGx	113	39	4
ot3pXlG	pt3pXlG	49	114	3
ot3pXlG	ot3pXlGx	49	103	4
nt3pXlG	ot3pXlG	240	49	3
nt3pXlG	nt3pXlGx	240	136	4
nd3pXlG	od3pXlG	0	65	2
nd3pXlG	nd3pXlGx	0	120	4
nd3tXlG	od3tXlG	124	189	3
nd3tXlG	nd3tXlGx	124	124	0
nd3tZlG	od3tZlG	254	63	3
nd3tZlG	nd3tZlGx	254	58	3
nD3tZlG	oD3tZlG	30	95	2
nD3tZlG	nD3tZlGx	30	26	1
nD3tZlC	oD3tZlC	26	91	2
nD3tZlC	nD3tZlCx	26	158	2
nD3tZlA	oD3tZlA	24	89	2
nD3tZlA	nD3tZlAx	24	96	4
nD3tZnA	oD3tZnA	86	151	3
nD3tZnA	nD3tZnAx	86	226	4
oD3tZnA	pD3tZnA	151	216	5
oD3tZnA	oD3tZnAx	151	193	4
oD3tZoA	pD3tZoA	182	247	2
oD3tZoA	oD3tZoAx	182	130	3
oD3tzoA	pD3tzoA	214	23	3
oD3tzoA	oD3tzoAx	214	98	4
oD3vzoA	pD3vzoA	148	213	2
oD3vzoA	oD3vzoAx	148	100	4
oD3vzoE	pD3vzoE	152	217	2
oD3vzoE	oD3vzoEx	152	224	4
oD3tzoE	pD3tzoE	218	27	3
oD3tzoE	oD3tzoEx	218	222	1
mD3tzoE	nD3tzoE	88	153	3
mD3tzoE	mD3tzoEx	88	32	4
mD3txoE	nD3txoE	214	23	3
mD3txoE	mD3txoEx	214	98	4
mD3txoA	nD3txoA	210	19	3
mD3txoA	mD3txoAx	210	230	3
mD2txoA	nD2txoA	81	146	4
mD2txoA	mD2txoAx	81	71	3
mD24xoA	nD24xoA	145	210	3
mD24xoA	mD24xoAx	145	7	4
iD24xoA	jD24xoA	141	206	3
iD24xoA	iD24xoAx	141	139	2
iD34xoA	jD34xoA	14	79	2
iD34xoA	iD34xoAx	14	42	2
iL34xoA	jL34xoA	6	71	2
iL34xoA	iL34xoAx	6	50	3
iL36xoA	jL36xoA	196	5	3
iL36xoA	iL36xoAx	196	52	4
iL37xoA	jL37xoA	35	100	4
iL37xoA	iL37xoAx	35	181	4
iL37xoa	jL37xoa	67	132	5
iL37xoa	iL37xoax	67	149	5
iL36xoa	jL36xoa	228	37	3
iL36xoa	iL36xoax	228	20	4
iL36xoq	jL36xoq	244	53	3
iL36xoq	iL36xoqx	244	4	4
iLs6xoq	jLs6xoq	52	117	2
iLs6xoq	iLs6xoqx	52	196	4
iMs6xoq	jMs6xoq	211	20	5
iMs6xoq	iMs6xoqx	211	5	5
iMs68oq	jMs68oq	147	212	4
iMs68oq	iMs68oqx	147	69	5
iMq68oq	jMq68oq	145	210	3
iMq68oq	iMq68oqx	145	7	4
iMq68gq	jMq68gq	153	218	3
iMq68gq	iMq68gqx	153	255	4
iIq68gq	jIq68gq	29	94	3
iIq68gq	iIq68gqx	29	251	5
iMq68gq	jMq68gq	153	218	3
iMq68gq	iMq68gqx	153	255	4
iMqv8gq	jMqv8gq	89	154	4
iMqv8gq	iMqv8gqx	89	63	4
iMQv8gq	jMQv8gq	57	122	3
iMQv8gq	iMQv8gqx	57	95	4
iMQv8Gq	jMQv8Gq	89	154	4
iMQv8Gq	iMQv8Gqx	89	63	4
iMQv9Gq	jMQv9Gq	26	91	2
iMQv9Gq	iMQv9Gqx	26	158	2
iMQ69Gq	jMQ69Gq	90	155	3
iMQ69Gq	iMQ69Gqx	90	94	1
iMQ61Gq	jMQ61Gq	82	147	3
iMQ61Gq	iMQ61Gqx	82	102	3
iMQ61Oq	jMQ61Oq	74	139	3
iMQ61Oq	iMQ61Oqx	74	110	2
iMQ6qOq	jMQ6qOq	138	203	2
iMQ6qOq	iMQ6qOqx	138	46	3
iEQ6qOq	jEQ6qOq	146	211	2
iEQ6qOq	iEQ6qOqx	146	38	4
iEQ6qNq	jEQ6qNq	115	180	5
iEQ6qNq	iEQ6qNqx	115	101	3

=== SUMMARY ===
Total tests: 2000
Average bits changed: 3,56
Percentage: 44,5%
